,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2014.0,Chelsea,Diego Costa,F,26.0,2111.0,20.0,3.0,3.24,1.75,15.22,-4.78,4.55,1.55,0.65,0.19
1,0,2014.0,Chelsea,Eden Hazard,M,38.0,3389.0,14.0,9.0,2.07,2.66,12.02,-1.98,11.24,2.24,0.32,0.3
2,0,2014.0,Chelsea,Loïc Remy,F M,19.0,659.0,7.0,0.0,4.1,0.68,4.3,-2.7,0.22,0.22,0.59,0.03
3,0,2014.0,Chelsea,Oscar,F M,28.0,2072.0,6.0,8.0,3.13,1.61,6.54,0.54,5.22,-2.78,0.28,0.23
4,0,2014.0,Chelsea,John Terry,D,38.0,3420.0,5.0,0.0,0.53,0.18,5.22,0.22,0.4,0.4,0.14,0.01
5,0,2014.0,Chelsea,Branislav Ivanovic,D,38.0,3420.0,4.0,5.0,1.16,0.92,4.37,0.37,5.32,0.32,0.12,0.14
6,0,2014.0,Chelsea,Didier Drogba,F,28.0,831.0,4.0,1.0,3.25,1.52,2.73,-1.27,1.53,0.53,0.3,0.17
7,0,2014.0,Chelsea,André Schürrle,M,14.0,428.0,3.0,0.0,4.42,1.26,3.25,0.25,0.6,0.6,0.68,0.13
8,0,2014.0,Chelsea,Cesc Fàbregas,M,34.0,2895.0,3.0,18.0,1.34,2.95,3.25,0.25,10.15,-7.85,0.1,0.32
9,0,2014.0,Chelsea,Willian,M,36.0,2439.0,2.0,3.0,2.03,1.81,4.23,2.23,5.78,2.78,0.16,0.21
10,0,2014.0,Chelsea,Ramires,M,23.0,1089.0,2.0,4.0,1.4,0.83,1.87,-0.13,2.08,-1.92,0.15,0.17
11,0,2014.0,Chelsea,Nemanja Matic,M,36.0,3124.0,1.0,3.0,0.84,0.69,2.8,1.8,2.38,-0.62,0.08,0.07
12,0,2014.0,Chelsea,Gary Cahill,D,36.0,2986.0,1.0,0.0,0.66,0.12,1.82,0.82,1.69,1.69,0.06,0.05
13,0,2014.0,Chelsea,Andreas Christensen,S,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,2014.0,Chelsea,Petr Cech,GK,7.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,2014.0,Chelsea,Nathan Aké,S,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,2014.0,Chelsea,Thibaut Courtois,GK,32.0,2813.0,0.0,0.0,0.0,0.1,0.0,0.0,0.22,0.22,0.0,0.01
17,0,2014.0,Chelsea,César Azpilicueta,D,29.0,2483.0,0.0,3.0,0.25,0.62,0.25,0.25,1.31,-1.69,0.01,0.05
18,0,2014.0,Chelsea,John Obi Mikel,M,18.0,678.0,0.0,1.0,0.4,0.27,0.49,0.49,0.33,-0.67,0.06,0.04
