,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2021.0,Manchester City,38.0,29.0,6.0,3.0,99.0,26.0,93.0,93.4,-5.6,25.21,-0.79,91.88,-1.12
1,0,2021.0,Liverpool,38.0,28.0,8.0,2.0,94.0,26.0,92.0,93.02,-0.98,32.73,6.73,86.56,-5.44
2,0,2021.0,Chelsea,38.0,21.0,11.0,6.0,76.0,33.0,74.0,69.3,-6.7,35.12,2.12,73.38,-0.62
3,0,2021.0,Tottenham,38.0,22.0,5.0,11.0,69.0,40.0,71.0,67.95,-1.05,43.7,3.7,66.09,-4.91
4,0,2021.0,Arsenal,38.0,22.0,3.0,13.0,61.0,48.0,69.0,63.39,2.39,48.39,0.39,64.76,-4.24
5,0,2021.0,Manchester United,38.0,16.0,10.0,12.0,57.0,57.0,58.0,57.21,0.21,56.85,-0.15,54.52,-3.48
6,0,2021.0,West Ham,38.0,16.0,8.0,14.0,60.0,51.0,56.0,54.98,-5.02,53.88,2.88,53.56,-2.44
7,0,2021.0,Leicester,38.0,14.0,10.0,14.0,62.0,59.0,52.0,49.49,-12.51,66.11,7.11,42.31,-9.69
8,0,2021.0,Brighton,38.0,12.0,15.0,11.0,42.0,44.0,51.0,49.57,7.57,47.21,3.21,54.18,3.18
9,0,2021.0,Wolverhampton Wanderers,38.0,15.0,6.0,17.0,38.0,43.0,51.0,39.04,1.04,58.48,15.48,40.54,-10.46
10,0,2021.0,Newcastle United,38.0,13.0,10.0,15.0,44.0,62.0,49.0,41.53,-2.47,62.71,0.71,41.53,-7.47
11,0,2021.0,Crystal Palace,38.0,11.0,15.0,12.0,50.0,46.0,48.0,48.84,-1.16,41.33,-4.67,58.15,10.15
12,0,2021.0,Brentford,38.0,13.0,7.0,18.0,48.0,56.0,46.0,52.89,4.89,49.5,-6.5,56.0,10.0
13,0,2021.0,Aston Villa,38.0,13.0,6.0,19.0,52.0,54.0,45.0,43.13,-8.87,53.1,-0.9,46.2,1.2
14,0,2021.0,Southampton,38.0,9.0,13.0,16.0,43.0,67.0,40.0,47.35,4.35,64.56,-2.44,43.45,3.45
15,0,2021.0,Everton,38.0,11.0,6.0,21.0,43.0,66.0,39.0,44.47,1.47,60.69,-5.31,43.54,4.54
16,0,2021.0,Leeds,38.0,9.0,11.0,18.0,42.0,79.0,38.0,51.19,9.19,71.31,-7.69,43.86,5.86
17,0,2021.0,Burnley,38.0,7.0,14.0,17.0,34.0,53.0,35.0,41.11,7.11,60.22,7.22,38.1,3.1
18,0,2021.0,Watford,38.0,6.0,5.0,27.0,34.0,77.0,23.0,39.34,5.34,67.53,-9.47,35.45,12.45
19,0,2021.0,Norwich,38.0,5.0,7.0,26.0,23.0,84.0,22.0,31.51,8.51,80.08,-3.92,25.04,3.04
20,0,2021.0,Real Madrid,38.0,26.0,8.0,4.0,80.0,31.0,86.0,80.22,0.22,45.78,14.78,73.59,-12.41
21,0,2021.0,Barcelona,38.0,21.0,10.0,7.0,68.0,38.0,73.0,70.54,2.54,35.08,-2.92,73.6,0.6
22,0,2021.0,Atletico Madrid,38.0,21.0,8.0,9.0,65.0,43.0,71.0,59.45,-5.55,35.77,-7.23,69.01,-1.99
23,0,2021.0,Sevilla,38.0,18.0,16.0,4.0,53.0,30.0,70.0,46.85,-6.15,40.6,10.6,57.0,-13.0
24,0,2021.0,Real Betis,38.0,19.0,8.0,11.0,62.0,40.0,65.0,55.9,-6.1,46.79,6.79,56.49,-8.51
25,0,2021.0,Real Sociedad,38.0,17.0,11.0,10.0,40.0,37.0,62.0,56.09,16.09,41.51,4.51,64.02,2.02
26,0,2021.0,Villarreal,38.0,16.0,11.0,11.0,63.0,37.0,59.0,70.33,7.33,47.89,10.89,63.85,4.85
27,0,2021.0,Athletic Club,38.0,14.0,13.0,11.0,43.0,36.0,55.0,57.01,14.01,39.29,3.29,62.79,7.79
28,0,2021.0,Valencia,38.0,11.0,15.0,12.0,48.0,53.0,48.0,42.28,-5.72,52.24,-0.76,46.28,-1.72
29,0,2021.0,Osasuna,38.0,12.0,11.0,15.0,37.0,51.0,47.0,42.03,5.03,50.59,-0.41,48.99,1.99
30,0,2021.0,Celta Vigo,38.0,12.0,10.0,16.0,43.0,43.0,46.0,44.94,1.94,46.12,3.12,51.23,5.23
31,0,2021.0,Rayo Vallecano,38.0,11.0,9.0,18.0,39.0,50.0,42.0,47.03,8.03,52.15,2.15,50.46,8.46
32,0,2021.0,Elche,38.0,11.0,9.0,18.0,40.0,52.0,42.0,36.81,-3.19,61.07,9.07,35.67,-6.33
33,0,2021.0,Espanyol,38.0,10.0,12.0,16.0,40.0,53.0,42.0,38.9,-1.1,57.12,4.12,40.03,-1.97
34,0,2021.0,Getafe,38.0,8.0,15.0,15.0,33.0,41.0,39.0,31.55,-1.45,44.49,3.49,42.87,3.87
35,0,2021.0,Cadiz,38.0,8.0,15.0,15.0,35.0,51.0,39.0,41.8,6.8,54.74,3.74,44.18,5.18
36,0,2021.0,Mallorca,38.0,10.0,9.0,19.0,36.0,63.0,39.0,40.58,4.58,56.14,-6.86,39.75,0.75
37,0,2021.0,Granada,38.0,8.0,14.0,16.0,44.0,61.0,38.0,41.3,-2.7,66.09,5.09,37.24,-0.76
38,0,2021.0,Levante,38.0,8.0,11.0,19.0,51.0,76.0,35.0,57.56,6.56,62.61,-13.39,52.73,17.73
39,0,2021.0,Alaves,38.0,8.0,7.0,23.0,31.0,65.0,31.0,38.46,7.46,63.57,-1.43,37.6,6.6
40,0,2021.0,Bayern Munich,34.0,24.0,5.0,5.0,97.0,37.0,77.0,99.91,2.91,38.61,1.61,78.83,1.83
41,0,2021.0,Borussia Dortmund,34.0,22.0,3.0,9.0,85.0,52.0,69.0,65.65,-19.35,47.67,-4.33,58.3,-10.7
42,0,2021.0,Bayer Leverkusen,34.0,19.0,7.0,8.0,80.0,47.0,64.0,66.31,-13.69,45.02,-1.98,59.23,-4.77
43,0,2021.0,RasenBallsport Leipzig,34.0,17.0,7.0,10.0,72.0,37.0,58.0,67.4,-4.6,44.38,7.38,60.59,2.59
44,0,2021.0,Union Berlin,34.0,16.0,9.0,9.0,50.0,44.0,57.0,55.2,5.2,39.83,-4.17,58.28,1.28
45,0,2021.0,Freiburg,34.0,15.0,10.0,9.0,58.0,46.0,55.0,57.73,-0.27,49.08,3.08,52.93,-2.07
46,0,2021.0,FC Cologne,34.0,14.0,10.0,10.0,52.0,49.0,52.0,52.3,0.3,53.09,4.09,49.04,-2.96
47,0,2021.0,Mainz 05,34.0,13.0,7.0,14.0,50.0,45.0,46.0,52.08,2.08,43.41,-1.59,50.62,4.62
48,0,2021.0,Hoffenheim,34.0,13.0,7.0,14.0,58.0,60.0,46.0,59.77,1.77,57.27,-2.73,46.7,0.7
49,0,2021.0,Borussia M.Gladbach,34.0,12.0,9.0,13.0,54.0,61.0,45.0,59.92,5.92,60.71,-0.29,49.74,4.74
50,0,2021.0,Eintracht Frankfurt,34.0,10.0,12.0,12.0,45.0,49.0,42.0,41.65,-3.35,54.38,5.38,39.63,-2.37
51,0,2021.0,Wolfsburg,34.0,12.0,6.0,16.0,43.0,54.0,42.0,49.27,6.27,53.48,-0.52,44.24,2.24
52,0,2021.0,Bochum,34.0,12.0,6.0,16.0,38.0,52.0,42.0,44.78,6.78,58.18,6.18,42.87,0.87
53,0,2021.0,Augsburg,34.0,10.0,8.0,16.0,39.0,56.0,38.0,38.95,-0.05,65.02,9.02,33.66,-4.34
54,0,2021.0,VfB Stuttgart,34.0,7.0,12.0,15.0,41.0,59.0,33.0,47.91,6.91,55.46,-3.54,40.45,7.45
55,0,2021.0,Hertha Berlin,34.0,9.0,6.0,19.0,37.0,71.0,33.0,37.89,0.89,58.79,-12.21,37.95,4.95
56,0,2021.0,Arminia Bielefeld,34.0,5.0,13.0,16.0,27.0,53.0,28.0,27.22,0.22,69.67,16.67,22.02,-5.98
57,0,2021.0,Greuther Fuerth,34.0,3.0,9.0,22.0,28.0,82.0,18.0,30.64,2.64,60.54,-21.46,26.48,8.48
58,0,2021.0,AC Milan,38.0,26.0,8.0,4.0,69.0,31.0,86.0,67.34,-1.66,34.63,3.63,72.82,-13.18
59,0,2021.0,Inter,38.0,25.0,9.0,4.0,84.0,32.0,84.0,90.38,6.38,39.88,7.88,80.7,-3.3
60,0,2021.0,Napoli,38.0,24.0,7.0,7.0,74.0,31.0,79.0,63.64,-10.36,34.4,3.4,72.03,-6.97
61,0,2021.0,Juventus,38.0,20.0,10.0,8.0,57.0,37.0,70.0,60.83,3.83,40.44,3.44,66.21,-3.79
62,0,2021.0,Lazio,38.0,18.0,10.0,10.0,77.0,58.0,64.0,59.29,-17.71,50.1,-7.9,60.96,-3.04
63,0,2021.0,Roma,38.0,18.0,9.0,11.0,59.0,43.0,63.0,66.8,7.8,42.05,-0.95,68.18,5.18
64,0,2021.0,Fiorentina,38.0,19.0,5.0,14.0,59.0,51.0,62.0,62.04,3.04,45.23,-5.77,61.56,-0.44
65,0,2021.0,Atalanta,38.0,16.0,11.0,11.0,65.0,48.0,59.0,68.72,3.72,46.6,-1.4,64.44,5.44
66,0,2021.0,Verona,38.0,14.0,11.0,13.0,65.0,59.0,53.0,56.39,-8.61,52.04,-6.96,53.32,0.32
67,0,2021.0,Torino,38.0,13.0,11.0,14.0,46.0,41.0,50.0,53.75,7.75,41.11,0.11,58.73,8.73
68,0,2021.0,Sassuolo,38.0,13.0,11.0,14.0,64.0,66.0,50.0,59.36,-4.64,69.96,3.96,46.95,-3.05
69,0,2021.0,Udinese,38.0,11.0,14.0,13.0,61.0,58.0,47.0,57.17,-3.83,54.01,-3.99,52.75,5.75
