,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2015.0,Leicester,Jamie Vardy,F,36.0,3154.0,24.0,6.0,3.28,1.37,22.14,-1.86,6.27,0.27,0.63,0.18
1,0,2015.0,Leicester,Riyad Mahrez,M,37.0,3087.0,17.0,11.0,2.51,1.98,11.88,-5.12,11.45,0.45,0.35,0.33
2,0,2015.0,Leicester,Leonardo Ulloa,F,29.0,942.0,6.0,2.0,3.25,1.34,6.91,0.91,1.47,-0.53,0.66,0.14
3,0,2015.0,Leicester,Shinji Okazaki,F,36.0,2105.0,5.0,0.0,1.97,0.86,8.61,3.61,1.13,1.13,0.37,0.05
4,0,2015.0,Leicester,Robert Huth,D,35.0,3150.0,3.0,0.0,0.8,0.06,3.45,0.45,0.69,0.69,0.1,0.02
5,0,2015.0,Leicester,Wes Morgan,D,38.0,3420.0,2.0,0.0,0.55,0.05,3.01,1.01,0.05,0.05,0.08,0.0
6,0,2015.0,Leicester,Daniel Drinkwater,M,35.0,3045.0,2.0,7.0,1.21,1.3,2.19,0.19,5.32,-1.68,0.06,0.16
7,0,2015.0,Leicester,Marc Albrighton,M,38.0,2796.0,2.0,6.0,1.35,2.0,2.55,0.55,8.1,2.1,0.08,0.26
8,0,2015.0,Leicester,Andy King,M,25.0,1030.0,2.0,1.0,1.66,0.79,2.72,0.72,1.06,0.06,0.24,0.09
9,0,2015.0,Leicester,N'Golo Kanté,M,37.0,3011.0,1.0,4.0,0.63,0.9,0.56,-0.44,2.73,-1.27,0.02,0.08
10,0,2015.0,Leicester,Jeffrey Schlupp,D M,24.0,1383.0,1.0,2.0,1.69,1.11,1.99,0.99,2.21,0.21,0.13,0.14
11,0,2015.0,Leicester,Nathan Dyer,S,12.0,193.0,1.0,1.0,2.33,1.4,0.26,-0.74,0.44,-0.56,0.12,0.21
12,0,2015.0,Leicester,Ritchie de Laet,D,12.0,655.0,1.0,0.0,0.27,0.82,0.15,-0.85,0.33,0.33,0.02,0.05
13,0,2015.0,Leicester,Kasper Schmeichel,GK,38.0,3420.0,0.0,0.0,0.0,0.13,0.0,0.0,0.37,0.37,0.0,0.01
14,0,2015.0,Leicester,Danny Simpson,D,30.0,2620.0,0.0,0.0,0.24,0.21,0.76,0.76,0.35,0.35,0.03,0.01
15,0,2015.0,Leicester,Christian Fuchs,D,32.0,2706.0,0.0,4.0,0.63,1.5,0.85,0.85,4.11,0.11,0.03,0.14
16,0,2015.0,Leicester,Daniel Amartey,D,5.0,98.0,0.0,0.0,0.92,0.92,0.39,0.39,0.06,0.06,0.36,0.05
17,0,2015.0,Leicester,Marcin Wasilewski,D,4.0,300.0,0.0,0.0,0.3,0.0,0.03,0.03,0.0,0.0,0.01,0.0
18,0,2015.0,Leicester,Gökhan Inler,M,5.0,195.0,0.0,0.0,0.92,0.46,0.04,0.04,0.03,0.03,0.02,0.01
19,0,2015.0,Leicester,Demarai Gray,M,12.0,163.0,0.0,1.0,2.76,3.31,0.54,0.54,1.24,0.24,0.3,0.69
20,0,2015.0,Leicester,Andrej Kramaric,S,2.0,18.0,0.0,0.0,5.0,5.0,0.43,0.43,0.02,0.02,2.13,0.11
21,0,2015.0,Leicester,Yohan Benalouane,S,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,2015.0,Leicester,Joseph Dodoo,S,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2015.0,Arsenal,Olivier Giroud,F,38.0,2411.0,16.0,6.0,3.77,1.34,14.5,-1.5,5.76,-0.24,0.54,0.22
24,0,2015.0,Arsenal,Alexis Sánchez,M,30.0,2463.0,13.0,4.0,3.91,2.27,13.1,0.1,8.55,4.55,0.48,0.31
25,0,2015.0,Arsenal,Mesut Özil,M,35.0,3065.0,6.0,19.0,1.41,4.29,7.92,1.92,17.62,-1.38,0.23,0.52
26,0,2015.0,Arsenal,Theo Walcott,F M,28.0,1374.0,5.0,2.0,2.95,1.11,8.39,3.39,2.04,0.04,0.55,0.13
27,0,2015.0,Arsenal,Aaron Ramsey,M,31.0,2624.0,5.0,4.0,2.37,1.27,8.61,3.61,4.05,0.05,0.3,0.14
28,0,2015.0,Arsenal,Laurent Koscielny,D,33.0,2848.0,4.0,0.0,0.6,0.25,3.34,-0.66,0.72,0.72,0.11,0.02
29,0,2015.0,Arsenal,Danny Welbeck,F M,11.0,581.0,4.0,2.0,3.1,1.08,2.98,-1.02,0.76,-1.24,0.46,0.12
30,0,2015.0,Arsenal,Joel Campbell,M,19.0,891.0,3.0,2.0,1.92,1.31,2.59,-0.41,2.83,0.83,0.26,0.29
31,0,2015.0,Arsenal,Alex Iwobi,M,13.0,639.0,2.0,2.0,2.11,1.69,1.55,-0.45,1.51,-0.49,0.22,0.21
32,0,2015.0,Arsenal,Héctor Bellerín,D,36.0,3240.0,1.0,5.0,0.36,0.67,0.71,-0.29,4.75,-0.25,0.02,0.13
33,0,2015.0,Arsenal,Gabriel,D,21.0,1761.0,1.0,0.0,0.56,0.05,0.95,-0.05,0.04,0.04,0.05,0.0
34,0,2015.0,Arsenal,Kieran Gibbs,D M,15.0,367.0,1.0,0.0,1.23,0.25,0.56,-0.44,0.04,0.04,0.14,0.01
35,0,2015.0,Arsenal,Alex Oxlade-Chamberlain,M,22.0,911.0,1.0,0.0,2.27,1.88,1.5,0.5,1.9,1.9,0.15,0.19
36,0,2015.0,Arsenal,Petr Cech,GK,34.0,3060.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.05,0.0,0.0
37,0,2015.0,Arsenal,Nacho Monreal,D,37.0,3247.0,0.0,3.0,0.33,0.78,0.91,0.91,2.91,-0.09,0.03,0.08
38,0,2015.0,Arsenal,Mohamed Elneny,M,11.0,799.0,0.0,1.0,1.46,0.34,1.33,1.33,0.3,-0.7,0.15,0.03
39,0,2015.0,Arsenal,Francis Coquelin,M,26.0,1652.0,0.0,0.0,0.44,0.33,0.16,0.16,0.35,0.35,0.01,0.02
40,0,2015.0,Arsenal,David Ospina,GK,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,2015.0,Arsenal,Per Mertesacker,D,24.0,2050.0,0.0,0.0,0.35,0.09,1.35,1.35,0.34,0.34,0.06,0.02
