,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2020.0,Manchester City,38.0,27.0,5.0,6.0,83.0,32.0,86.0,77.72,-5.28,30.61,-1.39,83.38,-2.62
1,0,2020.0,Manchester United,38.0,21.0,11.0,6.0,73.0,44.0,74.0,63.17,-9.83,41.92,-2.08,65.64,-8.36
2,0,2020.0,Liverpool,38.0,20.0,9.0,9.0,68.0,42.0,69.0,72.21,4.21,47.3,5.3,68.8,-0.2
3,0,2020.0,Chelsea,38.0,19.0,10.0,9.0,58.0,36.0,67.0,68.66,10.66,30.9,-5.1,77.41,10.41
4,0,2020.0,Leicester,38.0,20.0,6.0,12.0,68.0,50.0,66.0,58.8,-9.2,47.07,-2.93,59.75,-6.25
5,0,2020.0,West Ham,38.0,19.0,8.0,11.0,62.0,47.0,65.0,60.34,-1.66,49.86,2.86,59.18,-5.82
6,0,2020.0,Tottenham,38.0,18.0,8.0,12.0,68.0,45.0,62.0,56.68,-11.32,52.55,7.55,53.98,-8.02
7,0,2020.0,Arsenal,38.0,18.0,7.0,13.0,55.0,39.0,61.0,52.25,-2.75,43.23,4.23,58.72,-2.28
8,0,2020.0,Leeds,38.0,18.0,5.0,15.0,62.0,54.0,59.0,59.26,-2.74,63.02,9.02,51.81,-7.19
9,0,2020.0,Everton,38.0,17.0,8.0,13.0,47.0,48.0,59.0,49.24,2.24,50.16,2.16,50.72,-8.28
10,0,2020.0,Aston Villa,38.0,16.0,7.0,15.0,55.0,46.0,55.0,56.72,1.72,53.25,7.25,54.06,-0.94
11,0,2020.0,Newcastle United,38.0,12.0,9.0,17.0,46.0,62.0,45.0,43.96,-2.04,60.02,-1.98,42.65,-2.35
12,0,2020.0,Wolverhampton Wanderers,38.0,12.0,9.0,17.0,36.0,52.0,45.0,38.62,2.62,52.19,0.19,44.26,-0.74
13,0,2020.0,Crystal Palace,38.0,12.0,8.0,18.0,41.0,66.0,44.0,35.29,-5.71,61.9,-4.1,37.95,-6.05
14,0,2020.0,Southampton,38.0,12.0,7.0,19.0,47.0,68.0,43.0,45.28,-1.72,58.55,-9.45,44.17,1.17
15,0,2020.0,Brighton,38.0,9.0,14.0,15.0,40.0,46.0,41.0,53.82,13.82,39.91,-6.09,61.41,20.41
16,0,2020.0,Burnley,38.0,10.0,9.0,19.0,33.0,55.0,39.0,38.13,5.13,59.06,4.06,38.1,-0.9
17,0,2020.0,Fulham,38.0,5.0,13.0,20.0,27.0,53.0,28.0,41.06,14.06,57.64,4.64,42.42,14.42
