player_name_futbin,position,card_id,season,link,player_id,dob,club_name_futbin,club_id_futbin,league,league_id,nation,rating,pac,acceleration,sprint_speed,sho,positioning,finishing,shot_power,long_shots,volleys,penalties,pas,vision,crossing,fk_accuracy,short_passing,long_passing,curve,dri,agility,balance,reactions,ball_control,dribbling,composure,def,interceptions,heading_acc,def_awareness,standing_tackle,sliding_tackle,phy,jumping,stamina,strength,aggression,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,fb_team,club_id,player_id_ustat,player_name_ustat,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,club_name_ustat,npg,npxG,xGChain,xGBuildup
Matias Viña,LWB,51930,23,/23/player/51930/matias-vina,253290,09-11-1997,AFC Bournemouth,1943,Premier League,13,Uruguay,75,81.0,82.0,81.0,62.0,66.0,65.0,64.0,60.0,55.0,47.0,70.0,64.0,72.0,63.0,74.0,67.0,68.0,74.0,79.0,77.0,69.0,74.0,74.0,68.0,68.0,67.0,56.0,68.0,71.0,71.0,68.0,77.0,81.0,65.0,55.0,NULL,NULL,NULL,NULL,NULL,NULL,AFC Bournemouth,6.0,9892.0,Matias Viña,12.0,453.0,2.0,0.7529756985604763,0.0,0.1579136550426483,9.0,2.0,1.0,0.0,D S,Bournemouth,2.0,0.7529756985604763,1.6716434881091118,0.97148409858346
Kamaldeen Sulemana,LW,51890,23,/23/player/51890/kamaldeen-sulemana,256035,15-02-2002,Southampton,17,Premier League,13,Ghana,75,93.0,92.0,93.0,69.0,68.0,72.0,70.0,65.0,62.0,56.0,66.0,68.0,66.0,50.0,70.0,58.0,70.0,80.0,89.0,88.0,62.0,79.0,80.0,75.0,28.0,26.0,42.0,30.0,25.0,25.0,62.0,77.0,70.0,60.0,52.0,NULL,NULL,NULL,NULL,NULL,NULL,Southampton,79.0,9630.0,Kamaldeen Sulemana,18.0,950.0,2.0,1.679018633440137,1.0,1.4270181329920888,25.0,14.0,1.0,0.0,F M S,Southampton,2.0,1.679018633440137,3.4539370611310005,0.6344611132517457
Albert Sambi Lokonga,CM,51875,23,/23/player/51875/albert-sambi-lokonga,241928,22-10-1999,Crystal Palace,1799,Premier League,13,Belgium,75,66.0,63.0,69.0,58.0,65.0,53.0,68.0,63.0,58.0,41.0,75.0,75.0,68.0,68.0,79.0,77.0,71.0,78.0,78.0,68.0,72.0,81.0,78.0,80.0,69.0,77.0,61.0,64.0,73.0,68.0,69.0,71.0,79.0,63.0,72.0,NULL,NULL,NULL,NULL,NULL,NULL,Crystal Palace,23.0,9689.0,Albert Sambi Lokonga,15.0,732.0,0.0,0.1307045519351959,0.0,0.0456785000860691,2.0,2.0,2.0,0.0,M S,Crystal Palace,0.0,0.1307045519351959,0.7480293493717909,0.6000321935862303
Cédric,RB,51870,23,/23/player/51870/cedric,201118,31-08-1991,Fulham,144,Premier League,13,Portugal,75,71.0,76.0,66.0,61.0,69.0,54.0,76.0,65.0,50.0,60.0,70.0,62.0,72.0,64.0,76.0,69.0,66.0,75.0,73.0,81.0,73.0,76.0,75.0,69.0,73.0,74.0,65.0,70.0,77.0,74.0,64.0,72.0,66.0,57.0,75.0,NULL,NULL,NULL,NULL,NULL,NULL,Fulham,36.0,847.0,Cédric Soares,8.0,213.0,0.0,0.0555640272796154,0.0,0.1316027827560901,2.0,2.0,0.0,0.0,D S,Fulham,0.0,0.0555640272796154,0.4244770556688308,0.3658562526106834
Anthony Gordon,LM,51855,23,/23/player/51855/anthony-gordon,242964,24-02-2001,Newcastle Utd,13,Premier League,13,England,75,80.0,78.0,82.0,69.0,68.0,68.0,74.0,71.0,48.0,65.0,72.0,69.0,75.0,75.0,73.0,67.0,76.0,75.0,73.0,68.0,68.0,76.0,77.0,65.0,37.0,31.0,49.0,34.0,40.0,33.0,62.0,58.0,75.0,56.0,62.0,NULL,NULL,NULL,NULL,NULL,NULL,Newcastle Utd,56.0,8150.0,Anthony Gordon,32.0,1564.0,4.0,5.549364037811756,0.0,1.411392219364643,34.0,14.0,7.0,0.0,F M S,Newcastle United,4.0,5.549364037811756,7.685043416917324,1.7389676179736853
Mario Lemina,CM,51295,23,/23/player/51295/mario-lemina,212811,01-09-1993,Wolves,110,Premier League,13,Gabon,75,68.0,67.0,68.0,67.0,66.0,59.0,80.0,71.0,68.0,68.0,74.0,73.0,70.0,66.0,77.0,75.0,72.0,76.0,69.0,71.0,76.0,78.0,77.0,74.0,74.0,75.0,69.0,75.0,75.0,72.0,75.0,53.0,76.0,76.0,75.0,NULL,NULL,NULL,NULL,NULL,NULL,Wolves,98.0,1299.0,Mario Lemina,19.0,1325.0,0.0,0.2064824542030692,1.0,0.1570493020117283,9.0,3.0,2.0,1.0,M S,Wolverhampton Wanderers,0.0,0.2064824542030692,1.87073758803308,1.601245256140828
Georginio Rutter,ST,51288,23,/23/player/51288/georginio-rutter,245637,20-04-2002,Leeds United,8,Premier League,13,France,75,77.0,76.0,78.0,74.0,76.0,77.0,74.0,69.0,68.0,68.0,59.0,62.0,52.0,45.0,66.0,51.0,56.0,76.0,77.0,79.0,72.0,76.0,77.0,69.0,24.0,12.0,73.0,17.0,26.0,17.0,64.0,76.0,66.0,74.0,35.0,NULL,NULL,NULL,NULL,NULL,NULL,Leeds United,45.0,6937.0,Georginio Rutter,11.0,238.0,0.0,0.2494509778916835,1.0,0.4192553162574768,4.0,5.0,0.0,0.0,F S,Leeds,0.0,0.2494509778916835,0.477778896689415,0.0
Maximilian Wöber,CB,50726,23,/23/player/50726/maximilian-wober,231838,04-02-1998,Leeds United,8,Premier League,13,Austria,75,72.0,68.0,76.0,51.0,52.0,41.0,67.0,62.0,34.0,58.0,66.0,60.0,63.0,69.0,71.0,68.0,65.0,64.0,65.0,55.0,67.0,67.0,62.0,67.0,74.0,70.0,77.0,75.0,75.0,77.0,80.0,81.0,77.0,83.0,78.0,NULL,NULL,NULL,NULL,NULL,NULL,Leeds United,45.0,7366.0,Maximilian Wöber,16.0,1263.0,0.0,0.464545956812799,0.0,0.742159578949213,9.0,6.0,3.0,0.0,D S,Leeds,0.0,0.464545956812799,2.019608302041888,1.427522011101246
Ainsley Maitland-Niles,RWB,38063,23,/23/player/38063/ainsley-maitland-niles,225782,29-08-1997,Southampton,17,Premier League,13,England,75,78.0,79.0,77.0,62.0,70.0,58.0,69.0,66.0,44.0,69.0,70.0,70.0,69.0,50.0,74.0,68.0,64.0,74.0,79.0,71.0,73.0,75.0,73.0,73.0,70.0,70.0,50.0,71.0,75.0,72.0,71.0,66.0,78.0,69.0,69.0,NULL,NULL,NULL,NULL,NULL,NULL,Southampton,79.0,1750.0,Ainsley Maitland-Niles,22.0,1395.0,0.0,0.0137403002008795,0.0,0.4833124335855245,1.0,10.0,3.0,0.0,D M S,Southampton,0.0,0.0137403002008795,3.216860962100327,3.123183621093631
Layvin Kurzawa,LB,37952,23,/23/player/37952/layvin-kurzawa,201510,04-09-1992,Fulham,144,Premier League,13,France,75,71.0,75.0,67.0,65.0,74.0,66.0,69.0,62.0,61.0,54.0,72.0,75.0,75.0,53.0,75.0,67.0,69.0,76.0,70.0,69.0,70.0,80.0,76.0,74.0,72.0,73.0,72.0,70.0,74.0,73.0,69.0,83.0,66.0,68.0,73.0,NULL,NULL,NULL,NULL,NULL,NULL,Fulham,36.0,3298.0,Layvin Kurzawa,3.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,D S,Fulham,0.0,0.0,0.0,0.0
