fb_team,futbin_id,us_team,db_id
Toulouse FC,1809.0,Toulouse,1.0
1. FC Köln,31.0,FC Cologne,2.0
1. FSV Mainz 05,169.0,Mainz 05,3.0
AC Ajaccio,614.0,Ajaccio,4.0
AC Monza,111811.0,Monza,5.0
AFC Bournemouth,1943.0,Bournemouth,6.0
AJ Auxerre,57.0,Auxerre,7.0
Angers SCO,1530.0,Angers,8.0
Arsenal,1.0,Arsenal,9.0
AS Monaco,69.0,Monaco,10.0
Aston Villa,2.0,Aston Villa,11.0
Atalanta BC,115845.0,Atalanta,12.0
Athletic Club,448.0,Athletic Club,13.0
Atlético de Madrid,240.0,Atletico Madrid,14.0
Bologna,189.0,Bologna,15.0
Brentford,1925.0,Brentford,16.0
Brighton,1808.0,Brighton,17.0
Cádiz CF,1968.0,Cadiz,18.0
CA Osasuna,479.0,Osasuna,19.0
Chelsea,5.0,Chelsea,20.0
Clermont,1815.0,Clermont Foot,21.0
Cremonese,111434.0,Cremonese,22.0
Crystal Palace,1799.0,Crystal Palace,23.0
Dortmund,22.0,Borussia Dortmund,24.0
Elche CF,468.0,Elche,25.0
Empoli,1746.0,Empoli,26.0
Everton,7.0,Everton,27.0
FC Augsburg,100409.0,Augsburg,28.0
FC Barcelona,241.0,Barcelona,29.0
FC Bayern,21.0,Bayern Munich,30.0
FC Lorient,217.0,Lorient,31.0
FC Nantes,71.0,Nantes,32.0
FC Schalke 04,34.0,Schalke 04,33.0
Fiorentina,110374.0,Fiorentina,34.0
Frankfurt,1824.0,Eintracht Frankfurt,35.0
Fulham,144.0,Fulham,36.0
Getafe CF,1860.0,Getafe,37.0
Girona FC,110062.0,Girona,38.0
Hellas Verona,206.0,Verona,39.0
Hertha Berlin,166.0,Hertha Berlin,40.0
Inter,44.0,Inter,41.0
Juventus,45.0,Juventus,42.0
La Spezia,113974.0,Spezia,43.0
Lecce,347.0,Lecce,44.0
Leeds United,8.0,Leeds,45.0
Leicester City,95.0,Leicester,46.0
Leverkusen,32.0,Bayer Leverkusen,47.0
Liverpool,9.0,Liverpool,48.0
LOSC,65.0,Lille,49.0
M'gladbach,23.0,Borussia M.Gladbach,50.0
Manchester City,10.0,Manchester City,51.0
Manchester Utd,11.0,Manchester United,52.0
Milan,47.0,AC Milan,53.0
Montpellier,70.0,Montpellier,54.0
Napoli,116365.0,Napoli,55.0
Newcastle Utd,13.0,Newcastle United,56.0
Nott'm Forest,14.0,Nottingham Forest,57.0
OGC Nice,72.0,Nice,58.0
OL,66.0,Lyon,59.0
OM,219.0,Marseille,60.0
Paris SG,73.0,Paris Saint Germain,61.0
R. Valladolid CF,462.0,Real Valladolid,62.0
Rayo Vallecano,480.0,Rayo Vallecano,63.0
RB Leipzig,112172.0,RasenBallsport Leipzig,64.0
RC Celta,450.0,Celta Vigo,65.0
RC Lens,64.0,Lens,66.0
RCD Espanyol,452.0,Espanyol,67.0
RCD Mallorca,453.0,Mallorca,68.0
Real Betis,449.0,Real Betis,69.0
Real Madrid,243.0,Real Madrid,70.0
Real Sociedad,457.0,Real Sociedad,71.0
Rennes,74.0,Rennes,72.0
Roma FC,114912.0,Roma,73.0
Salernitana,110373.0,Salernitana,74.0
Sampdoria,1837.0,Sampdoria,75.0
Sassuolo,111974.0,Sassuolo,76.0
