fb_team,futbin_id,us_team,db_id
AFC Bournemouth,1943,None,0
Southampton,17,None,0
Crystal Palace,1799,None,0
Fulham,144,None,0
Newcastle Utd,13,None,0
Nott'm Forest,14,None,0
Wolves,110,None,0
Leeds United,8,None,0
Chelsea,5,None,0
Leicester City,95,None,0
Brentford,1925,None,0
Brighton,1808,None,0
Arsenal,1,None,0
Spurs,18,None,0
Everton,7,None,0
Aston Villa,2,None,0
"
                                           Controlled                                       ",17,None,0
Liverpool,9,None,0
West Ham,19,None,0
Manchester Utd,11,None,0
Manchester City,10,None,0
Valencia CF,461,None,0
UD Almería,1861,None,0
RCD Mallorca,453,None,0
Girona FC,110062,None,0
Cádiz CF,1968,None,0
CA Osasuna,479,None,0
Real Sociedad,457,None,0
Rayo Vallecano,480,None,0
R. Valladolid CF,462,None,0
RC Celta,450,None,0
Elche CF,468,None,0
RCD Espanyol,452,None,0
Athletic Club,448,None,0
Getafe CF,1860,None,0
Real Betis,449,None,0
Real Madrid,243,None,0
Sevilla FC,481,None,0
FC Barcelona,241,None,0
Atlético de Madrid,240,None,0
Villarreal CF,483,None,0
La Spezia,113974,None,0
Sampdoria,1837,None,0
AC Monza,111811,None,0
Lecce,347,None,0
Empoli,1746,None,0
Salernitana,110373,None,0
Cremonese,111434,None,0
Hellas Verona,206,None,0
Roma FC,114912,None,0
Fiorentina,110374,None,0
SS Lazio,115841,None,0
Udinese,55,None,0
Milan,47,None,0
Torino,54,None,0
Sassuolo,111974,None,0
Atalanta BC,115845,None,0
Bologna,189,None,0
Inter,44,None,0
Juventus,45,None,0
Napoli,116365,None,0
Stade Brestois 29,378,None,0
LOSC,65,None,0
Rennes,74,None,0
FC Nantes,71,None,0
AS Monaco,69,None,0
OGC Nice,72,None,0
FC Lorient,217,None,0
RC Lens,64,None,0
OM,219,None,0
Strasbourg,76,None,0
Troyes,294,None,0
Stade de Reims,379,None,0
Montpellier,70,None,0
AJ Auxerre,57,None,0
OL,66,None,0
AC Ajaccio,614,None,0
Angers SCO,1530,None,0
Clermont,1815,None,0
Paris SG,73,None,0
FC Schalke 04,34,None,0
Union Berlin,1831,None,0
VfL Bochum,160,None,0
Frankfurt,1824,None,0
Dortmund,22,None,0
Leverkusen,32,None,0
Werder Bremen,38,None,0
FC Augsburg,100409,None,0
1. FSV Mainz 05,169,None,0
TSG Hoffenheim,10029,None,0
SC Freiburg,25,None,0
1. FC Köln,31,None,0
FC Bayern,21,None,0
Hertha Berlin,166,None,0
M'gladbach,23,None,0
VfB Stuttgart,36,None,0
VfL Wolfsburg,175,None,0
RB Leipzig,112172,None,0
