Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Cédric Hountondji,bj BEN,DF,28.0,36,35,3095.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,0.4,1.6,5.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,/en/players/00891164/Cedric-Hountondji,00891164,Angers
Batista Mendy,fr FRA,"MF,DF",22.0,35,35,2859.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.9,0.9,1.2,2.1,27.0,195.0,49.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,/en/players/e472a6f6/Batista-Mendy,e472a6f6,Angers
Yan Valery,tn TUN,DF,23.0,30,30,2497.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.9,2.7,72.0,84.0,74.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,/en/players/531a4aa8/Yan-Valery,531a4aa8,Angers
Nabil Bentaleb,dz ALG,MF,27.0,30,29,2489.0,27.7,4.0,4.0,8.0,2.0,2.0,2.0,7.0,1.0,3.2,1.6,2.3,3.9,46.0,176.0,28.0,0.14,0.14,0.29,0.07,0.22,0.11,0.08,0.2,0.06,0.14,Matches,/en/players/3189f61a/Nabil-Bentaleb,3189f61a,Angers
Adrien Hunou,fr FRA,"MF,FW",28.0,34,28,2234.0,24.8,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,6.5,6.5,2.3,8.7,34.0,62.0,149.0,0.16,0.04,0.2,0.16,0.2,0.26,0.09,0.35,0.26,0.35,Matches,/en/players/d14229f3/Adrien-Hunou,d14229f3,Angers
Paul Bernardoni,fr FRA,GK,25.0,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/28dabd43/Paul-Bernardoni,28dabd43,Angers
Himad Abdelli,dz ALG,"MF,FW",22.0,30,24,2137.0,23.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.9,4.3,58.0,151.0,111.0,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18,Matches,/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Angers
Miha Blažič,si SVN,DF,29.0,24,22,1979.0,22.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.1,1.6,0.0,64.0,0.0,0.09,0.0,0.09,0.09,0.09,0.07,0.0,0.07,0.07,0.07,Matches,/en/players/3cdfc63e/Miha-Blazic,3cdfc63e,Angers
Souleyman Doumbia,ci CIV,"DF,FW",25.0,24,21,1790.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.6,2.6,52.0,58.0,95.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,/en/players/9daeac61/Souleyman-Doumbia,9daeac61,Angers
Abdallah Sima,sn SEN,FW,21.0,34,19,1836.0,20.4,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,4.8,4.8,2.2,7.0,38.0,21.0,140.0,0.25,0.05,0.29,0.25,0.29,0.24,0.11,0.34,0.24,0.34,Matches,/en/players/fdbde523/Abdallah-Sima,fdbde523,Angers
Pierrick Capelle,fr FRA,"MF,DF",35.0,26,15,1428.0,15.9,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,1.5,1.5,1.2,2.7,16.0,66.0,40.0,0.0,0.19,0.19,0.0,0.19,0.1,0.07,0.17,0.1,0.17,Matches,/en/players/79b2399c/Pierrick-Capelle,79b2399c,Angers
Ibrahima Niane,sn SEN,FW,23.0,16,15,1136.0,12.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,3.4,3.4,0.5,3.9,11.0,24.0,57.0,0.16,0.0,0.16,0.16,0.16,0.27,0.04,0.31,0.27,0.31,Matches,/en/players/46faabfa/Ibrahima-Niane,46faabfa,Angers
Azzedine Ounahi,ma MAR,"MF,FW",22.0,15,13,1129.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8,1.8,1.6,3.4,53.0,87.0,77.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.27,0.14,0.27,Matches,/en/players/83299cc0/Azzedine-Ounahi,83299cc0,Angers
Abdoulaye Bamba,ci CIV,DF,32.0,21,12,1364.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,8.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,/en/players/7fecbcdb/Abdoulaye-Bamba,7fecbcdb,Angers
Amine Salama,fr FRA,"FW,MF",22.0,25,12,1249.0,13.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,1.5,4.5,35.0,21.0,94.0,0.22,0.07,0.29,0.22,0.29,0.22,0.11,0.33,0.22,0.33,Matches,/en/players/bc7cc472/Amine-Salama,bc7cc472,Angers
Sada Thioub,sn SEN,"DF,FW",27.0,27,11,1060.0,11.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.9,3.3,23.0,57.0,78.0,0.08,0.17,0.25,0.08,0.25,0.11,0.16,0.28,0.11,0.28,Matches,/en/players/f4bc42b1/Sada-Thioub,f4bc42b1,Angers
Yahia Fofana,fr FRA,GK,21.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/9d420dad/Yahia-Fofana,9d420dad,Angers
Sofiane Boufal,ma MAR,"FW,MF",28.0,13,9,834.0,9.3,4.0,3.0,7.0,2.0,2.0,2.0,3.0,1.0,3.6,2.1,2.9,5.0,49.0,56.0,94.0,0.43,0.32,0.76,0.22,0.54,0.39,0.32,0.71,0.22,0.54,Matches,/en/players/b0c71810/Sofiane-Boufal,b0c71810,Angers
Farid El Melali,dz ALG,"DF,FW",25.0,17,9,806.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.2,1.3,42.0,24.0,54.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches,/en/players/d21e361a/Farid-El-Melali,d21e361a,Angers
Halid Šabanović,ba BIH,DF,22.0,15,8,638.0,7.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.9,0.9,0.0,1.0,5.0,20.0,30.0,0.28,0.0,0.28,0.28,0.28,0.13,0.01,0.14,0.13,0.14,Matches,/en/players/8299e363/Halid-Sabanovic,8299e363,Angers
