Season,Overall Rank,Team,Country,League Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points Per Match,Expected Goals,Expected Goals Against,Expected Goal Difference,Expected Goal Difference Per Match
2020-2021,1,Inter,it,1,38,28,7,3,89,35,54.0,91,2.39,74.8,38.6,36.199999999999996,0.9526315789473683
2020-2021,2,Bayern Munich,de,1,34,24,6,4,99,44,55.0,78,2.29,75.8,41.0,34.8,1.0235294117647058
2020-2021,3,Manchester City,eng,1,38,27,5,6,83,32,51.0,86,2.26,73.3,31.4,41.9,1.1026315789473684
2020-2021,4,Atlético Madrid,es,1,38,26,8,4,67,25,42.0,86,2.26,52.4,32.7,19.699999999999996,0.5184210526315788
2020-2021,5,Real Madrid,es,2,38,25,9,4,67,28,39.0,84,2.21,61.5,36.5,25.0,0.6578947368421053
2020-2021,6,Lille,fr,1,38,24,11,3,64,23,41.0,83,2.18,50.0,26.7,23.3,0.6131578947368421
2020-2021,7,Paris S-G,fr,2,38,26,4,8,86,28,58.0,82,2.16,82.4,37.3,45.10000000000001,1.1868421052631581
2020-2021,8,Barcelona,es,3,38,24,7,7,85,38,47.0,79,2.08,78.9,39.6,39.300000000000004,1.0342105263157897
2020-2021,9,Milan,it,2,38,24,7,7,74,41,33.0,79,2.08,71.2,45.7,25.5,0.6710526315789473
2020-2021,10,Atalanta,it,3,38,23,9,6,90,47,43.0,78,2.05,77.2,42.3,34.900000000000006,0.9184210526315791
2020-2021,11,Juventus,it,4,38,23,9,6,77,38,39.0,78,2.05,74.2,38.2,36.0,0.9473684210526315
2020-2021,12,Monaco,fr,3,38,24,6,8,76,42,34.0,78,2.05,66.9,33.1,33.800000000000004,0.8894736842105264
2020-2021,13,Napoli,it,5,38,24,5,9,86,41,45.0,77,2.03,67.7,41.6,26.1,0.6868421052631579
2020-2021,14,Sevilla,es,4,38,24,5,9,53,33,20.0,77,2.03,50.9,35.0,15.899999999999999,0.4184210526315789
2020-2021,15,Lyon,fr,4,38,22,10,6,81,43,38.0,76,2.00,84.6,43.2,41.39999999999999,1.0894736842105261
2020-2021,16,Manchester Utd,eng,2,38,21,11,6,73,44,29.0,74,1.95,60.2,42.2,18.0,0.47368421052631576
2020-2021,17,RB Leipzig,de,2,34,19,8,7,60,32,28.0,65,1.91,65.3,29.1,36.199999999999996,1.064705882352941
2020-2021,18,Dortmund,de,3,34,20,4,10,75,46,29.0,64,1.88,68.6,40.4,28.199999999999996,0.8294117647058822
2020-2021,19,Liverpool,eng,3,38,20,9,9,68,42,26.0,69,1.82,72.6,45.3,27.299999999999997,0.7184210526315788
2020-2021,20,Wolfsburg,de,4,34,17,10,7,61,37,24.0,61,1.79,49.5,42.0,7.5,0.22058823529411764
2020-2021,21,Lazio,it,6,38,21,5,12,61,55,6.0,68,1.79,59.8,47.8,12.0,0.3157894736842105
2020-2021,22,Chelsea,eng,4,38,19,10,9,58,36,22.0,67,1.76,64.0,32.8,31.200000000000003,0.8210526315789475
2020-2021,23,Eint Frankfurt,de,5,34,16,12,6,69,53,16.0,60,1.76,56.1,48.4,7.700000000000003,0.2264705882352942
