,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2020.0,Manchester City,Ilkay Gündogan,M,28.0,2033.0,13.0,2.0,2.39,1.86,9.57,-3.43,3.82,1.82,0.42,0.17
1,0,2020.0,Manchester City,Raheem Sterling,F M,31.0,2539.0,10.0,7.0,2.48,1.38,12.05,2.05,6.63,-0.37,0.43,0.23
2,0,2020.0,Manchester City,Riyad Mahrez,F M,27.0,1961.0,9.0,6.0,2.66,2.07,6.23,-2.77,6.09,0.09,0.29,0.28
3,0,2020.0,Manchester City,Gabriel Jesus,F M,29.0,2053.0,9.0,4.0,2.41,1.36,9.65,0.65,3.55,-0.45,0.42,0.16
4,0,2020.0,Manchester City,Phil Foden,F M,28.0,1606.0,9.0,5.0,2.52,2.02,6.08,-2.92,4.75,-0.25,0.34,0.27
5,0,2020.0,Manchester City,Ferrán Torres,F M,24.0,1305.0,7.0,2.0,2.48,1.24,5.73,-1.27,2.2,0.2,0.4,0.15
6,0,2020.0,Manchester City,Kevin De Bruyne,M,25.0,2008.0,6.0,12.0,3.63,3.54,9.98,3.98,10.96,-1.04,0.45,0.49
7,0,2020.0,Manchester City,John Stones,D,22.0,1933.0,4.0,0.0,0.7,0.09,2.5,-1.5,0.05,0.05,0.12,0.0
8,0,2020.0,Manchester City,Sergio Agüero,F M,12.0,556.0,4.0,1.0,3.08,1.13,3.72,-0.28,1.32,0.32,0.6,0.21
9,0,2020.0,Manchester City,João Cancelo,D M,28.0,2309.0,2.0,3.0,1.36,1.75,1.87,-0.13,5.18,2.18,0.07,0.2
10,0,2020.0,Manchester City,Rodri,M,34.0,2751.0,2.0,2.0,1.05,1.08,2.66,0.66,2.34,0.34,0.09,0.08
11,0,2020.0,Manchester City,Benjamin Mendy,D M,13.0,955.0,2.0,1.0,0.57,0.47,0.33,-1.67,0.3,-0.7,0.03,0.03
12,0,2020.0,Manchester City,Bernardo Silva,F M,26.0,2080.0,2.0,6.0,1.21,1.17,3.6,1.6,4.82,-1.18,0.16,0.21
13,0,2020.0,Manchester City,Nathan Aké,D,10.0,802.0,1.0,0.0,0.34,0.11,0.51,-0.49,0.02,0.02,0.06,0.0
14,0,2020.0,Manchester City,Kyle Walker,D,24.0,1944.0,1.0,1.0,0.46,0.37,0.2,-0.8,0.5,-0.5,0.01,0.02
15,0,2020.0,Manchester City,Rúben Dias,D,32.0,2848.0,1.0,0.0,0.44,0.09,1.95,0.95,0.11,0.11,0.06,0.0
16,0,2020.0,Manchester City,Fernandinho,M,21.0,1170.0,0.0,2.0,1.08,1.08,0.82,0.82,1.54,-0.46,0.06,0.12
17,0,2020.0,Manchester City,Aymeric Laporte,D,16.0,1335.0,0.0,0.0,0.4,0.34,0.84,0.84,0.58,0.58,0.06,0.04
18,0,2020.0,Manchester City,Oleksandr Zinchenko,D M,20.0,1473.0,0.0,0.0,0.98,0.92,0.66,0.66,1.09,1.09,0.04,0.07
19,0,2020.0,Manchester City,Ederson,GK,36.0,3240.0,0.0,1.0,0.0,0.03,0.0,0.0,0.3,-0.7,0.0,0.01
20,0,2020.0,Manchester City,Zack Steffen,GK,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,2020.0,Manchester City,Eric Garcia,D,6.0,378.0,0.0,0.0,0.48,0.24,0.07,0.07,0.01,0.01,0.02,0.0
22,0,2020.0,Manchester City,Scott Carson,GK,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2020.0,Manchester City,Liam Delap,S,1.0,39.0,0.0,0.0,2.31,0.0,0.06,0.06,0.0,0.0,0.15,0.0
24,0,2020.0,Manchester United,Bruno Fernandes,M,37.0,3117.0,18.0,12.0,3.49,2.74,16.02,-1.98,11.47,-0.53,0.46,0.33
25,0,2020.0,Manchester United,Marcus Rashford,F M,37.0,2941.0,11.0,9.0,2.42,1.35,9.58,-1.42,4.19,-4.81,0.29,0.13
26,0,2020.0,Manchester United,Edinson Cavani,F,26.0,1355.0,10.0,3.0,2.26,0.93,8.6,-1.4,2.32,-0.68,0.57,0.15
27,0,2020.0,Manchester United,Mason Greenwood,F M,31.0,1825.0,7.0,2.0,3.3,0.69,6.98,-0.02,2.43,0.43,0.34,0.12
28,0,2020.0,Manchester United,Anthony Martial,F M,22.0,1494.0,4.0,3.0,2.53,1.02,7.41,3.41,2.62,-0.38,0.45,0.16
29,0,2020.0,Manchester United,Scott McTominay,M,32.0,2121.0,4.0,1.0,1.1,0.72,1.85,-2.15,2.11,1.11,0.08,0.09
30,0,2020.0,Manchester United,Paul Pogba,M,26.0,1893.0,3.0,3.0,1.47,1.14,2.99,-0.01,2.07,-0.93,0.14,0.1
31,0,2020.0,Manchester United,Daniel James,M,15.0,920.0,3.0,1.0,1.66,0.98,2.31,-0.69,1.33,0.33,0.23,0.13
32,0,2020.0,Manchester United,Harry Maguire,D,34.0,3049.0,2.0,1.0,1.06,0.21,1.48,-0.52,0.29,-0.71,0.04,0.01
33,0,2020.0,Manchester United,Aaron Wan-Bissaka,D,34.0,3060.0,2.0,4.0,0.21,0.91,0.93,-1.07,2.55,-1.45,0.03,0.07
34,0,2020.0,Manchester United,Juan Mata,M,9.0,518.0,1.0,2.0,0.87,1.39,1.07,0.07,0.72,-1.28,0.19,0.13
35,0,2020.0,Manchester United,Luke Shaw,D,32.0,2659.0,1.0,5.0,0.37,2.44,0.69,-0.31,6.47,1.47,0.02,0.22
36,0,2020.0,Manchester United,Victor Lindelöf,D,29.0,2587.0,1.0,1.0,0.14,0.21,0.8,-0.2,0.4,-0.6,0.03,0.01
37,0,2020.0,Manchester United,Fred,M,30.0,2404.0,1.0,0.0,0.94,0.9,1.73,0.73,2.23,2.23,0.06,0.08
38,0,2020.0,Manchester United,Donny van de Beek,M,19.0,486.0,1.0,1.0,0.37,0.56,0.29,-0.71,1.04,0.04,0.05,0.19
39,0,2020.0,Manchester United,Anthony Elanga,F M,2.0,157.0,1.0,0.0,1.15,0.57,0.55,-0.45,0.02,0.02,0.32,0.01
40,0,2020.0,Manchester United,David de Gea,GK,26.0,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,2020.0,Manchester United,Timothy Fosu-Mensah,D,1.0,85.0,0.0,0.0,1.06,2.12,0.02,0.02,0.31,0.31,0.02,0.32
42,0,2020.0,Manchester United,Odion Ighalo,S,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,2020.0,Manchester United,Nemanja Matic,M,20.0,1099.0,0.0,0.0,0.49,0.66,0.16,0.16,0.89,0.89,0.01,0.07
44,0,2020.0,Manchester United,Axel Tuanzebe,D,9.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,2020.0,Manchester United,Eric Bailly,D,12.0,916.0,0.0,0.0,0.2,0.0,0.08,0.08,0.0,0.0,0.01,0.0
46,0,2020.0,Manchester United,Alex Telles,D,9.0,696.0,0.0,2.0,0.65,1.55,0.15,0.15,0.78,-1.22,0.02,0.1
47,0,2020.0,Manchester United,Dean Henderson,GK,13.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,2020.0,Manchester United,Brandon Williams,D,4.0,185.0,0.0,0.0,0.49,0.49,0.27,0.27,0.03,0.03,0.13,0.02
49,0,2020.0,Manchester United,Amad Diallo Traore,M,3.0,172.0,0.0,1.0,0.52,1.05,0.04,0.04,0.42,-0.58,0.02,0.22
50,0,2020.0,Manchester United,Shola Shoretire,S,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,2020.0,Manchester United,William Fish,S,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,2020.0,Manchester United,Hannibal Mejbri,S,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,2020.0,Liverpool,Mohamed Salah,F M,37.0,3085.0,22.0,5.0,3.68,1.6,20.25,-1.75,6.53,1.53,0.59,0.19
54,0,2020.0,Liverpool,Sadio Mané,F M,35.0,2805.0,11.0,7.0,3.02,1.96,14.83,3.83,7.79,0.79,0.48,0.25
55,0,2020.0,Liverpool,Roberto Firmino,F M,36.0,2882.0,9.0,7.0,2.59,1.37,12.86,3.86,6.12,-0.88,0.4,0.19
56,0,2020.0,Liverpool,Diogo Jota,F M,19.0,1114.0,9.0,0.0,3.72,0.97,7.06,-1.94,1.76,1.76,0.57,0.14
57,0,2020.0,Liverpool,Georginio Wijnaldum,M,38.0,2961.0,2.0,0.0,0.94,0.64,2.82,0.82,1.66,1.66,0.09,0.05
58,0,2020.0,Liverpool,Trent Alexander-Arnold,D,36.0,3040.0,2.0,7.0,1.63,2.28,2.59,0.59,8.58,1.58,0.08,0.25
59,0,2020.0,Liverpool,Thiago Alcántara,M,24.0,1865.0,1.0,0.0,1.06,1.45,1.21,0.21,2.55,2.55,0.06,0.12
60,0,2020.0,Liverpool,Joel Matip,D,10.0,701.0,1.0,2.0,0.64,0.39,0.78,-0.22,1.18,-0.82,0.1,0.15
61,0,2020.0,Liverpool,Jordan Henderson,D M,21.0,1710.0,1.0,1.0,0.74,0.74,1.14,0.14,1.48,0.48,0.06,0.08
62,0,2020.0,Liverpool,Virgil van Dijk,D,5.0,370.0,1.0,0.0,0.97,0.0,0.55,-0.45,0.0,0.0,0.13,0.0
63,0,2020.0,Liverpool,Alex Oxlade-Chamberlain,F M,13.0,238.0,1.0,1.0,3.03,0.76,0.3,-0.7,0.3,-0.7,0.11,0.11
64,0,2020.0,Liverpool,Alisson,GK,33.0,2970.0,1.0,0.0,0.03,0.0,0.11,-0.89,0.0,0.0,0.0,0.0
65,0,2020.0,Liverpool,Andrew Robertson,D,38.0,3391.0,1.0,7.0,0.5,1.73,1.44,0.44,7.22,0.22,0.04,0.19
66,0,2020.0,Liverpool,Curtis Jones,M,24.0,1174.0,1.0,2.0,1.46,0.92,1.76,0.76,1.52,-0.48,0.13,0.12
67,0,2020.0,Liverpool,Nathaniel Phillips,D,17.0,1451.0,1.0,1.0,0.93,0.43,1.03,0.03,0.92,-0.08,0.06,0.06
68,0,2020.0,Liverpool,Takumi Minamino,F M,9.0,276.0,1.0,0.0,2.28,0.0,1.27,0.27,0.0,0.0,0.41,0.0
69,0,2020.0,Liverpool,Divock Origi,F,9.0,176.0,0.0,0.0,3.58,1.02,1.08,1.08,0.14,0.14,0.55,0.07
70,0,2020.0,Liverpool,James Milner,D M,26.0,1037.0,0.0,1.0,1.04,1.13,0.36,0.36,0.79,-0.21,0.03,0.07
71,0,2020.0,Liverpool,Adrián,GK,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,2020.0,Liverpool,Xherdan Shaqiri,F M,14.0,534.0,0.0,2.0,1.85,3.2,0.42,0.42,2.51,0.51,0.07,0.42
73,0,2020.0,Liverpool,Joseph Gomez,D,7.0,594.0,0.0,0.0,0.0,0.15,0.0,0.0,0.07,0.07,0.0,0.01
74,0,2020.0,Liverpool,Fabinho,D M,30.0,2563.0,0.0,0.0,0.35,0.14,0.36,0.36,0.3,0.3,0.01,0.01
75,0,2020.0,Liverpool,Naby Keita,M,10.0,525.0,0.0,0.0,1.54,1.03,0.39,0.39,0.91,0.91,0.07,0.16
76,0,2020.0,Liverpool,Ozan Kabak,D,9.0,807.0,0.0,0.0,0.11,0.11,0.09,0.09,0.03,0.03,0.01,0.0
77,0,2020.0,Liverpool,Caoimhin Kelleher,GK,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0,2020.0,Liverpool,Neco Williams,D,6.0,252.0,0.0,0.0,0.71,1.07,0.09,0.09,0.19,0.19,0.03,0.07
79,0,2020.0,Liverpool,Konstantinos Tsimikas,S,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,2020.0,Liverpool,Rhys Williams,D,9.0,661.0,0.0,0.0,0.95,0.27,0.55,0.55,0.22,0.22,0.08,0.03
81,0,2020.0,Chelsea,Jorginho,M,28.0,2022.0,7.0,1.0,0.62,1.07,6.97,-0.03,1.95,0.95,0.31,0.09
82,0,2020.0,Chelsea,Timo Werner,F M,35.0,2605.0,6.0,8.0,2.76,1.24,13.43,7.43,6.67,-1.33,0.46,0.23
83,0,2020.0,Chelsea,Tammy Abraham,F,22.0,1027.0,6.0,1.0,2.8,0.79,6.19,0.19,0.72,-0.28,0.54,0.06
84,0,2020.0,Chelsea,Mason Mount,F M,36.0,2891.0,6.0,5.0,2.55,2.71,6.88,0.88,9.85,4.85,0.21,0.31
85,0,2020.0,Chelsea,Kurt Zouma,D,24.0,2024.0,5.0,0.0,1.2,0.18,3.14,-1.86,0.08,0.08,0.14,0.0
