,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2016.0,Chelsea,Diego Costa,F,35.0,3101.0,20.0,7.0,3.22,1.22,15.43,-4.57,4.91,-2.09,0.45,0.14
1,0,2016.0,Chelsea,Eden Hazard,F M,36.0,3050.0,16.0,5.0,2.27,2.6,11.03,-4.97,6.44,1.44,0.33,0.19
2,0,2016.0,Chelsea,Pedro,F M,35.0,2178.0,9.0,9.0,2.44,1.74,5.99,-3.01,5.53,-3.47,0.25,0.23
3,0,2016.0,Chelsea,Willian,F M,34.0,1509.0,8.0,2.0,2.62,3.04,3.76,-4.24,3.06,1.06,0.22,0.18
4,0,2016.0,Chelsea,Gary Cahill,D,37.0,3299.0,6.0,0.0,0.65,0.14,3.3,-2.7,0.17,0.17,0.09,0.0
5,0,2016.0,Chelsea,Marcos Alonso,M,31.0,2696.0,6.0,3.0,1.54,0.8,4.15,-1.85,3.15,0.15,0.14,0.11
6,0,2016.0,Chelsea,Cesc Fàbregas,M,29.0,1294.0,5.0,12.0,1.81,4.31,2.81,-2.19,7.85,-4.15,0.2,0.55
7,0,2016.0,Chelsea,Michy Batshuayi,F,20.0,221.0,5.0,1.0,6.92,0.41,3.76,-1.24,0.03,-0.97,1.53,0.01
8,0,2016.0,Chelsea,Victor Moses,M,34.0,2519.0,3.0,2.0,1.61,1.0,4.05,1.05,2.63,0.63,0.14,0.09
9,0,2016.0,Chelsea,César Azpilicueta,D M,38.0,3420.0,1.0,4.0,0.47,0.58,0.64,-0.36,1.68,-2.32,0.02,0.04
10,0,2016.0,Chelsea,Nemanja Matic,M,35.0,2699.0,1.0,7.0,0.67,0.87,1.13,0.13,3.06,-3.94,0.04,0.1
11,0,2016.0,Chelsea,N'Golo Kanté,M,35.0,3141.0,1.0,1.0,0.77,0.63,2.17,1.17,1.88,0.88,0.06,0.05
12,0,2016.0,Chelsea,John Terry,D,9.0,489.0,1.0,0.0,1.47,0.37,1.54,0.54,0.54,0.54,0.28,0.1
13,0,2016.0,Chelsea,David Luiz,D,33.0,2959.0,1.0,0.0,0.94,0.3,1.41,0.41,1.36,1.36,0.04,0.04
14,0,2016.0,Chelsea,Nathan Aké,D,2.0,96.0,0.0,1.0,0.94,0.94,0.02,0.02,0.51,-0.49,0.02,0.48
15,0,2016.0,Chelsea,Thibaut Courtois,GK,36.0,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,2016.0,Chelsea,Branislav Ivanovic,D,13.0,578.0,0.0,0.0,1.09,0.47,0.32,0.32,0.19,0.19,0.05,0.03
17,0,2016.0,Chelsea,Ruben Loftus-Cheek,S,6.0,23.0,0.0,0.0,3.91,0.0,0.14,0.14,0.0,0.0,0.54,0.0
18,0,2016.0,Chelsea,Kenedy,M,1.0,78.0,0.0,0.0,3.46,1.15,0.16,0.16,0.04,0.04,0.18,0.05
19,0,2016.0,Chelsea,Oscar,M,9.0,457.0,0.0,1.0,2.36,2.95,0.49,0.49,1.23,0.23,0.1,0.24
