,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2019.0,Liverpool,38.0,32.0,3.0,3.0,85.0,33.0,99.0,75.19,-9.81,39.57,6.57,74.28,-24.72
1,0,2019.0,Manchester City,38.0,26.0,3.0,9.0,102.0,35.0,81.0,102.21,0.21,37.0,2.0,86.76,5.76
2,0,2019.0,Manchester United,38.0,18.0,12.0,8.0,66.0,36.0,66.0,66.19,0.19,38.06,2.06,70.99,4.99
3,0,2019.0,Chelsea,38.0,20.0,6.0,12.0,69.0,54.0,66.0,76.23,7.23,41.09,-12.91,73.49,7.49
4,0,2019.0,Leicester,38.0,18.0,8.0,12.0,67.0,41.0,62.0,61.02,-5.98,47.89,6.89,61.16,-0.84
5,0,2019.0,Tottenham,38.0,16.0,11.0,11.0,61.0,47.0,59.0,49.02,-11.98,54.13,7.13,49.26,-9.74
6,0,2019.0,Wolverhampton Wanderers,38.0,15.0,14.0,9.0,51.0,40.0,59.0,54.22,3.22,37.39,-2.61,63.82,4.82
7,0,2019.0,Arsenal,38.0,14.0,14.0,10.0,56.0,48.0,56.0,50.82,-5.18,57.25,9.25,50.15,-5.85
8,0,2019.0,Sheffield United,38.0,14.0,12.0,12.0,39.0,39.0,54.0,45.81,6.81,52.04,13.04,49.34,-4.66
9,0,2019.0,Burnley,38.0,15.0,9.0,14.0,43.0,50.0,54.0,49.35,6.35,53.84,3.84,49.54,-4.46
10,0,2019.0,Southampton,38.0,15.0,7.0,16.0,51.0,60.0,52.0,56.5,5.5,56.59,-3.41,56.87,4.87
11,0,2019.0,Everton,38.0,13.0,10.0,15.0,44.0,56.0,49.0,53.71,9.71,49.21,-6.79,55.78,6.78
12,0,2019.0,Newcastle United,38.0,11.0,11.0,16.0,38.0,58.0,44.0,36.49,-1.51,67.03,9.03,31.92,-12.08
13,0,2019.0,Crystal Palace,38.0,11.0,10.0,17.0,31.0,50.0,43.0,34.45,3.45,57.39,7.39,38.26,-4.74
14,0,2019.0,Brighton,38.0,9.0,14.0,15.0,39.0,54.0,41.0,47.42,8.42,60.42,6.42,48.02,7.02
15,0,2019.0,West Ham,38.0,10.0,9.0,19.0,49.0,62.0,39.0,49.07,0.07,68.32,6.32,38.75,-0.25
16,0,2019.0,Aston Villa,38.0,9.0,8.0,21.0,41.0,67.0,35.0,45.09,4.09,71.6,4.6,37.23,2.23
17,0,2019.0,Bournemouth,38.0,9.0,7.0,22.0,40.0,65.0,34.0,44.67,4.67,63.29,-1.71,39.2,5.2
18,0,2019.0,Watford,38.0,8.0,10.0,20.0,36.0,64.0,34.0,48.56,12.56,59.53,-4.47,47.87,13.87
19,0,2019.0,Norwich,38.0,5.0,6.0,27.0,26.0,75.0,21.0,37.23,11.23,71.61,-3.39,33.12,12.12
